名字,类型,注册地点,利率,上线时间,注册资金,存管方式,债权转让,投标保障,保障模式,评分
地标金融,民营系,广东·深圳,10.44%,2013-10-18,10000万元（实缴资金：10000万元）,无存管,随时,第三方担保机构提供担保,合作机构垫付,3.4
合时代,民营系,广东·深圳,12.03%,2013-10-21,20000万元（实缴资金：20000万元）,无存管,1个月,担保保证金+风险准备金双重保证金制度,小贷公司、融资性担保公司、非融资性担保公司,3.4
信融财富,上市参股A股公司凯瑞德持有平台5%股份,广东·深圳,11.76%,2012-12-27,6904万元（实缴资金：5704万元）,深交所A股股权代码002072,支持,1个月,第三方担保/风险准备金,3.4
有融网,民营系,浙江·杭州,11.29%,2014-11-19,15000万元（实缴资金：5000万元）,无存管,3个月,担保企业承担保证责任还款,担保企业承担保证责任还款,3.7
理想宝,上市参股A股公司中捷资源等共同共持有平台22%股份,广东·深圳,10.1%,2014-05-23,500万元（实缴资金：500万元）,主办股权代码002021,不支持,1个月,担保公司担保,3.5
米庄理财,上市参股A股公司神州泰岳持有平台股份,浙江·杭州,9.32%,2015-04-28,1000万元（实缴资金：1000万元）,深交所创业板A股股权代码300002,-,-,-,4.8
百金贷,民营系,北京·朝阳,10.33%,2014-12-26,11580万元（实缴资金：5000万元）,用户资金存管存管机构为贵州银行,不可转让,第三方合作机构担保和车辆以租代购,第三方合作机构担保,3.8
米金社,民营系,浙江·杭州,7.13%,2016-01-15,5000万元（实缴资金：5000万元）,无存管,-,账户资金安全保障,-,4
可溯金融,国资参股华鼎国学研究基金会持有平台20%股份,浙江·杭州,9.42%,2014-09-17,5000万元（实缴资金：5000万元）,用户资金存管存管机构为北京银行,1个月,质押项目,融资性担保公司、非融资性担保公司,3.9
投融家,民营系,浙江·杭州,10.32%,2016-01-08,5000万元（实缴资金：3500万元）,用户资金存管存管机构为浙商银行,不可转让,上市集团背景、资金存管、履约保险、风险拨备金、金融资产质押,融资性担保公司、平台垫付、保险公司,3.9
友金服,上市控股A股公司用友网络持有平台53.89%股份,广东·深圳,9%,2014-10-16,5000万元,主板股权代码600588,支持,随时,合作机构担保,3.4
银豆网,国资控股北京华信电子企业集团持有平台70%股份,北京·海淀,13%,2014-01-23,8000万元（实缴资金：5700万元）,用户资金存管存管机构为江西银行,随时,融资性担保公司担保,融资性担保公司本息担保,4.5
红金宝,民营系,广东·深圳,11.98%,2015-03-24,1000万元（实缴资金：5000万元）,用户资金存管存管机构为华兴银行,随时,质押担保,供应链金融公司,4.5
多多理财,民营系,浙江·杭州,11.04%,2015-05-07,10000万元（实缴资金：4238万元）,用户资金存管存管机构为新网银行,3个月,第三方回购,-,3.8
招商贷,上市控股A股公司中天城投持有平台55%股份,贵州·贵阳,10.18%,2013-06-28,11111万元（实缴资金：11111万元）,深交所主板A股股权代码000540,支持,不可转让,-,3.3
黄河金融,上市控股A股公司祥源文化持有平台71%股份,浙江·杭州,9.29%,2014-04-29,6000万元（实缴资金：5201万元）,上交所主板A股股权代码600576,支持,1个月,借款担保人、合作机构双重担保保障,3.8
E都市钱包,民营系,浙江·杭州,7.08%,2016-07-01,10000万元（实缴资金：10000万元）,用户资金存管存管机构为浙商银行,不可转让,-,非融资性担保公司,3.7
人人聚财,民营系,广东·深圳,9.49%,2011-11-01,5377万元（实缴资金：5377万元）,用户资金存管存管机构为厦门银行,1个月,第三方机构担保,合作机构担保,2.6
钱保姆,民营系,浙江·杭州,10.97%,2014-11-01,10000万元（实缴资金：5000万元）,股权代码,支持,1个月,-,4.1
利民网,民营系,广东·深圳,9.2%,2014-09-22,10000万元（实缴资金：5000万元）,用户资金存管存管机构为新网银行,2个月,-,小贷公司、融资性担保公司,4
云端金融,民营系,浙江·杭州,11.74%,2016-10-08,20000万元（实缴资金：5000万元）,无存管,不可转让,-,金融信息中介,0.0点评人数不足点评赚金币
叮咚钱包,民营系,北京·东城,9.18%,2016-01-01,10000万元（实缴资金：2722万元）,股权代码,不支持,不可转让,合作机构债权回购保障,3.8
首E家,国资控股首创经中（天津）投资有限公司等持有平台80%股份,北京·东城,7.24%,2015-07-08,20000万元（实缴资金：16000万元）,股权代码,不支持,不可转让,-,3.5
白菜金融,民营系,北京·东城,9.43%,2015-12-01,5500万元（实缴资金：2300万元）,深圳前海股权交易中心股权代码667087,支持,不可转让,无,3.8
金融圈,民营系,广东·深圳,9.23%,2014-10-28,20000万元,无存管,3个月,-,债权转让,3.3
冠e通,民营系,北京·东城,8.82%,2015-07-01,10000万元（实缴资金：6000万元）,用户资金存管存管机构为恒丰银行,随时,无,-,3.2
新升贷,民营系,浙江·杭州,11.97%,2015-04-01,5000万元（实缴资金：3595万元）,用户资金存管存管机构为新网银行,随时,风险准备金,平台垫付,2.9
君融贷,风投系,辽宁·大连,8.87%,2014-11-04,6613万元（实缴资金：6613万元）,用户资金存管存管机构为恒丰银行,不可转让,第三方提供连带责任担保,网络借贷信息中介,3.6
爱钱帮,风投系,北京·东城,8.96%,2014-04-10,10000万元（实缴资金：1217万元）,用户资金存管存管机构为徽商银行,随时,融资性担保公司,融资性担保公司,3.3
聚车金融,民营系,浙江·杭州,10.52%,2015-01-15,1000万元,用户资金存管存管机构为江西银行,不可转让,-,非融资性担保公司,4
图腾贷,风投系,四川·成都,11.14%,2014-09-10,1278万元（实缴资金：1278万元）,创业板股权代码300002,支持,随时,-,4.3
达人贷,风投系,广东·深圳,14.49%,2013-12-27,3000万元（实缴资金：3000万元）,股权代码,支持,随时,第三方担保,3.7
联金所,上市参股A股公司赫美集团持有平台10.2%股份,广东·深圳,11.36%,2013-11-01,6800万元（实缴资金：6800万元）,深交所股权代码002356,支持,随时,-,3.5
城铁在融,民营系,湖北·武汉,13.83%,2015-05-18,6615万元（实缴资金：6615万元）,无存管,随时,-,融资性担保公司、平台垫付、逾期次日本息垫付,4.3
小猪理财,国资参股永州市第二市政工程公司持有平台股份,江西·南昌,11.34%,2015-03-01,10000万元（实缴资金：2000万元）,用户资金存管存管机构为江西银行,不可转让,核心企业进行担保,九重安全保障,4.4
互融宝,国资控股中核恒通（北京）物资有限责任公司持有平台50%股份,江苏·南京,9.65%,2014-05-16,6000万元（实缴资金：6000万元）,用户资金存管存管机构为徽商银行,1个月,担保机构、保险公司,小贷公司、融资性担保公司、非融资性担保公司、保险公司,3.5
付融宝,风投系,江苏·南京,10.74%,2013-11-22,11000万元（实缴资金：11000万元）,股权代码,不支持,1个月,-,3.8
普惠家,民营系,北京·海淀,10.34%,2015-09-29,6000万元,用户资金存管存管机构为恒丰银行,6个月,质保服务专款,网络借贷信息中介,4.1
连资贷,风投系,浙江·杭州,7.73%,2014-09-22,1075万元（实缴资金：1075万元）,用户资金存管存管机构为浙商银行,随时,担保公司担保,非融资性担保公司,4.4
博金贷,国资参股江西大成国有资产经营管理有限责任公司等持有平台12.8%股份,江西·南昌,9.04%,2014-09-16,6480万元（实缴资金：6480万元）,用户资金存管存管机构为江西银行,随时,小额贷款公司到期回购,小贷公司,3.9
安捷财富,民营系,上海·浦东,12.1%,2014-07-01,20000万元（实缴资金：5000万元）,用户资金存管存管机构为贵州银行,不可转让,风险准备金垫付,小贷公司、融资租赁,3.8
钱多多,风投系,上海·浦东,9.55%,2013-10-08,11000万元（实缴资金：11000万元）,用户资金存管存管机构为江西银行,不可转让,逾期十个工作日代偿本息,房屋抵押,3.4
道口贷,国资参股北京荷塘投资管理有限公司等持有平台股份,北京·海淀,8.48%,2014-12-19,11835万元（实缴资金：1282万元）,用户资金存管存管机构为上海银行,不可转让,核心企业承付,供应链金融,3.3
普汇云通,国资参股河南中原金睿建投资产管理有限公司等持有平台99.22%股份,广东·深圳,13.35%,2015-08-24,13000万元（实缴资金：10000万元）,用户资金存管存管机构为华兴银行,不可转让,安徽皖弘融资担保,融资性担保公司,3.3
祺天优贷,民营系,浙江·杭州,10.53%,2015-01-18,5000万元（实缴资金：5000万元）,用户资金存管存管机构为厦门国际银行,不可转让,足额抵押,小贷公司,3.9
聚优财,民营系,浙江·杭州,7.66%,2014-05-20,5556万元（实缴资金：5000万元）,用户资金存管存管机构为北京银行,随时,第三方质保金,-,4
金投行,国资控股杭州市金融投资集团有限公司等持有平台100%股份,浙江·杭州,7.09%,2014-11-27,30000万元（实缴资金：30000万元）,股权代码,不支持,不可转让,保险公司承保,3.9
小油菜,民营系,北京·朝阳,9.31%,2014-01-20,5000万元（实缴资金：1000万元）,用户资金存管存管机构为新网银行,随时,"原始债权人回购,房产抵押担保,担保公司担保,资产管理公司回购",保险公司、安全保障计划,3.4
乾贷网,民营系,贵州·贵阳,11.21%,2013-10-21,1000万元（实缴资金：1000万元）,用户资金存管存管机构为贵州银行,随时,融资性担保公司提供担保,网络借贷信息中介机构,4.1
广信贷,民营系,北京·朝阳,15.91%,2013-01-21,5000万元（实缴资金：5000万元）,北京股权交易所股权代码ZS1339,支持,3个月,江西银行资金存管+担保公司+风险备用金,3.5
乐居财富,民营系,湖北·武汉,12.72%,2014-11-05,5000万元（实缴资金：5000万元）,用户资金存管存管机构为徽商银行,不可转让,-,-,3.8
恒易融,民营系自然人股东,北京·东城,12.44%,2014-11-06,10000万元（实缴资金：10000万元）,用户资金存管存管机构为贵州银行,1个月,利通公司与利宝保险开展信审责任险合作,平台不保本保息，利通公司与利宝保险开展信审责任险合作,3.5
新新贷,国资参股中核汇能（天津）有限公司持有平台股份,上海·虹口,10.76%,2012-02-21,5000万元（实缴资金：5000万元）,用户资金存管存管机构为上海华瑞银行,随时,-,-,3.3
易港金融,上市参股A股公司科达股份等共同共持有平台9.41%股份,浙江·杭州,10.94%,2014-11-01,6000万元（实缴资金：6000万元）,股权代码600986,支持,随时,借款人正常还款，专业贷后风控管理,3.7
合家金融,民营系,浙江·杭州,9.02%,2014-10-31,5000万元（实缴资金：5000万元）,用户资金存管存管机构为恒丰银行,不可转让,-,P2F平台,3.9
融租E投,民营系,北京·海淀,7.18%,2014-09-08,10000万元（实缴资金：10000万元）,用户资金存管存管机构为上海银行,1个月,金融机构100％本息回购担保,供应链金融,3.9
首金网,国资参股北京服务新首钢股权创业投资企业（有限合伙）等持有平台15%股份,北京·海淀,8.39%,2015-12-29,10000万元（实缴资金：6300万元）,用户资金存管存管机构为民生银行,1个月,融担联盟、担保公司、保险公司,融资性担保公司、保险公司,3.3
花虾金融,民营系,上海·黄浦,10.2%,2015-10-19,5000万元,用户资金存管存管机构为平安银行,不可转让,无,-,3.6
汇通易贷,民营系,广东·深圳,9.68%,2011-05-23,5000万元（实缴资金：5000万元）,前海股权交易中心股权代码663558,支持,随时,银行资金存管,3.8
万盈金融,国资控股四川省宜宾五粮液集团宜宾制药有限责任公司持有平台80%股份,广东·深圳,10.95%,2015-05-09,10000万元（实缴资金：10000万元）,用户资金存管存管机构为江西银行,1个月,债权回购,-,3.3
智富贷,民营系,上海·宝山,6.67%,2015-03-20,5000万元（实缴资金：5000万元）,股权代码202730,支持,随时,车辆抵押贷款的平台,3.3
三益宝,民营系,北京·海淀,13.48%,2014-12-03,5000万元（实缴资金：5000万元）,用户资金存管存管机构为恒丰银行,2个月,第三方及房产保证,-,4.4
小微金融,民营系,广东·深圳,12.39%,2014-06-18,20000万元（实缴资金：20000万元）,股权代码,不支持,不可转让,保理公司、担保公司担保,3.8
德鸿金融,民营系,北京·朝阳,10.24%,2015-04-03,5000万元（实缴资金：5000万元）,股权代码,不支持,随时,-,4
钱盒子,民营系,广东·深圳,12.57%,2014-10-28,6000万元（实缴资金：6000万元）,用户资金存管存管机构为华兴银行,不可转让,合作机构保障、抵押物保障,合作机构保障、抵押物保障,4
知商金融,民营系,广东·广州,7.35%,2015-06-18,10000万元（实缴资金：5600万元）,用户资金存管存管机构为上海华瑞银行,不可转让,第三方担保,融资性担保公司,3.6
钱内助,国资参股中弘信达（上海）企业发展有限公司持有平台51%股份,浙江·杭州,12.86%,2015-07-20,5000万元（实缴资金：5000万元）,无存管,不可转让,-,第三方垫付,3.7
新联在线,国资参股广东新联在线控股有限公司持有平台100%股份,广东·广州,11.72%,2013-07-31,7000万元（实缴资金：3000万元）,用户资金存管存管机构为浙商银行,随时,担保合作,小贷公司、融资性担保公司、保理公司、典当行,3.4
互惠理财,国资参股浙江省经协集团有限公司占有平台股份4.9%,浙江·杭州,12.58%,2015-08-01,5000万元（实缴资金：1000万元）,用户资金存管存管机构为浙江民泰商业银行,随时,银行存管、第三方担保,小贷公司,3.8
爱投金融,民营系,上海·杨浦,8.43%,2011-12-28,5000万元,股权代码,不支持,随时,-,4.5
小猪罐子,民营系,广东·深圳,10.41%,2014-08-15,3125万元,无存管,2个月,第三方机构担保,合作机构担保,3.5
诚汇通,民营系,广东·深圳,15%,2013-07-10,10000万元（实缴资金：10000万元）,用户资金存管存管机构为徽商银行,1个月,-,-,4
花果金融,民营系,北京·朝阳,7.72%,2014-01-02,5000万元（实缴资金：4850万元）,用户资金存管存管机构为上海银行,1个月,若借款人逾期，第三方承诺回购债权,融资性担保公司、融资租赁,3.5
迷你贷,风投系,广东·深圳,10.54%,2013-11-16,2000万元（实缴资金：2000万元）,用户资金存管存管机构为江西银行,2个月,汽车抵押,足额抵押物代偿,3.5
宜聚网,国资参股河南省汽车工业有限公司持有平台36%股份,广东·深圳,12.72%,2013-04-16,5000万元（实缴资金：5000万元）,用户资金存管存管机构为富邦华一银行,3个月,100%车贷,小贷公司、保理公司,3.5
生菜金融,国资参股上海科技创业投资有限公司等持有平台24.21%股份,上海·浦东,10.77%,2014-09-09,10200万元（实缴资金：10200万元）,用户资金存管存管机构为平安银行,随时,-,国有背景担保公司连带责任担保,3
石投金融,民营系,上海·嘉定,8.52%,2014-05-19,5556万元（实缴资金：5197万元）,用户资金存管存管机构为上海银行,3个月,-,-,4.1
念钱安,民营系,浙江·杭州,10.23%,2015-11-02,5001万元（实缴资金：5001万元）,用户资金存管存管机构为浙江民泰商业银行,不可转让,第三方担保,保理公司,4.2
银狐财富,民营系,浙江·杭州,12.03%,2015-08-01,5000万元（实缴资金：2000万元）,用户资金存管存管机构为江西银行,不可转让,担保合作,第三方担保,3.8
365易贷,国资控股江苏省企业文化发展中心持有平台50.99%股份,江苏·南京,11.33%,2010-02-01,30308万元（实缴资金：17851万元）,用户资金存管存管机构为徽商银行,随时,风险准备金,-,3.6
e路同心,国资参股广东省粤科投资发展有限公司持有平台30%股份,广东·深圳,9.95%,2015-01-18,20000万元（实缴资金：20000万元）,用户资金存管存管机构为上海银行,1个月,设有风险准备金,小贷公司、融资性担保公司,3.6
小宝金融,民营系,广东·深圳,12.75%,2015-07-03,5000万元（实缴资金：5000万元）,用户资金存管存管机构为华兴银行,随时,融资性担保公司、平台垫付、风险准备金(1000万元),融资性担保公司、平台垫付,4.1
汇理财,民营系,广东·深圳,11.58%,2014-07-14,5000万元（实缴资金：5000万元）,港交所股权代码HK8030,不支持,不可转让,-,3.4
抱财网,上市参股A股公司凯乐科技持有平台10%股份,北京·海淀,9.39%,2014-03-01,5000万元（实缴资金：5000万元）,无存管,1个月,抵押保障,网络借贷信息中介,3.8
短融网,风投系,北京·朝阳,8.96%,2014-06-27,5494万元,用户资金存管存管机构为厦门银行,不可转让,抵押担保、质押担保及第三方保证,-,3.6
恒信易贷,民营系,广东·广州,12.04%,2013-12-05,4000万元（实缴资金：4000万元）,用户资金存管存管机构为新网银行,随时,抵押产品,车辆抵押及其它担保方式,3.2
银子铺,民营系,浙江·杭州,10.55%,2014-12-03,10000万元（实缴资金：10000万元）,股权代码,支持,随时,当天偿付,3.5
三信贷,国资参股深圳中京华宇集团有限公司持有平台股份,浙江·温州,11.55%,2012-09-03,5000万元（实缴资金：5000万元）,无存管,3个月,风险保障金1000万,平台垫付,3.8
众房宝,民营系,福建·福州,10.98%,2014-05-19,3000万元,海峡股权交易中心股权代码681035,支持,不可转让,第三方担保机构提供100％连带责任担保,4
两只老虎,民营系,北京·朝阳,9.72%,2014-07-07,5000万元（实缴资金：5000万元）,用户资金存管存管机构为江西银行,随时,担保公司,融资性担保公司,3.9
九信金融,民营系,北京·西城,8.05%,2015-05-26,200000万元（实缴资金：200000万元）,新三板股权代码430719,支持,不可转让,全额安全保障,3.3
安心贷,民营系,北京·石景山,9.01%,2011-07-01,5000万元（实缴资金：2300万元）,用户资金存管存管机构为徽商银行,1个月,用户资金存管,长安银科资产管理有限公司,3.5
合拍在线,民营系,广东·深圳,10.73%,2012-06-08,10000万元,用户资金存管存管机构为江西银行,随时,逾期满30天担保机构提供担保,融资性担保公司,3.4
礼德财富,国资参股中食兆业（北京）食品发展有限公司持有平台股份,广东·广州,10.96%,2013-08-28,10000万元（实缴资金：5100万元）,深圳前海股权交易中心股权代码668346,支持,1个月,机构担保、机构风险保证金、法律援助金,3.5
元宝365,民营系,北京·石景山,9.43%,2014-11-12,5000万元（实缴资金：3000万元）,用户资金存管存管机构为江西银行,不可转让,核心企业担保、质押,P2P,4.5
小狗钱钱,国资控股中甬经贸发展（上海）中心持有平台100%股份,上海·黄浦,8.85%,2015-08-21,10000万元（实缴资金：3500万元）,用户资金存管存管机构为江西银行,不可转让,-,平台垫付、票据,4.2
58车贷,民营系,湖南·长沙,10.36%,2015-03-12,5000万元（实缴资金：1000万元）,用户资金存管存管机构为上饶银行,3个月,风险保障金垫付,平台垫付、融资租赁,3.7
九斗鱼,民营系,北京·朝阳,10.59%,2014-02-11,6000万元,无存管,随时,-,融资性担保公司,3.3
融贝网,风投系,北京·东城,9.56%,2014-03-21,1212万元（实缴资金：1213万元）,用户资金存管存管机构为江西银行,1个月,-,合作机构承担担保责任,3.9
牛牛bank,民营系,广东·深圳,9.23%,2014-09-28,10000万元（实缴资金：10000万元）,无存管,3个月,由合作机构承诺无条件回购,-,3.9
金筑财富,国资参股贵阳观山湖投资（集团）有限公司持有平台78%股份,贵州·贵阳,9.07%,2016-02-28,5000万元（实缴资金：2250万元）,股权代码,支持,不可转让,银行存管+第三方担保,3.3
名字,类型,注册地点,利率,上线时间,注册资金,存管方式,债权转让,投标保障,保障模式,评分
汇诚金服,民营系,浙江·杭州,9.17%,2015-10-28,5500万元（实缴资金：2400万元）,用户资金存管存管机构为浙江民泰商业银行,不可转让,风险备付金代偿,融资性担保公司、保险公司,4
网投网,国资控股西安市长安新发展进出口贸易实业公司持有平台60%股份,广东·深圳,9.36%,2014-06-25,5000万元（实缴资金：1000万元）,用户资金存管存管机构为江西银行,随时,融资性担保公司项目担保,小贷公司、融资性担保公司,3.8
今金贷,民营系甘肃省工矿材料集团公司持有平台51%股份,甘肃·兰州,12.93%,2015-05-16,10000万元（实缴资金：4900万元）,用户资金存管存管机构为上海银行,-,-,-,3
金盈所,民营系,北京·朝阳,6.71%,2016-05-27,5000万元（实缴资金：5000万元）,股权代码,不支持,1个月,-,3.1
粤商贷,民营系,广东·深圳,12.54%,2013-12-19,5000万元（实缴资金：5000万元）,无存管,随时,-,无,3.5
e兴金融,国资控股乐山亚鑫实业有限公司持有平台51%股份,四川·乐山,10.09%,2015-04-03,5000万元（实缴资金：5000万元）,无股权代码无,支持,随时,-,3.8
金桥梁,民营系,四川·成都,12.89%,2014-03-28,1000万元（实缴资金：1000万元）,用户资金存管存管机构为天府银行,1个月,24小时资金垫付,平台垫付,3.5
